,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,1.0,6.0,64.0,3.0,0.14285714285714285,0.25,0.8783783783783784,0.0945945945945946,0.18181818181818182,0.12693821723988488,0.09522707639145994
1,0.0,8.0,49.0,2.0,0.0,0.0,0.8305084745762712,0.13559322033898305,0.0,-0.0741886512099543,0.01694915254237288
2,2.0,6.0,66.0,3.0,0.25,0.4,0.8831168831168831,0.1038961038961039,0.3076923076923077,0.2557314034776286,0.36142857142857143
3,0.0,3.0,73.0,2.0,0.0,0.0,0.9358974358974359,0.038461538461538464,0.0,-0.03244428422615251,0.014285714285714285
4,0.0,1.0,57.0,3.0,0.0,0.0,0.9344262295081968,0.01639344262295082,0.0,-0.029361010975735173,0.025967650946811825
5,0.0,8.0,80.0,1.0,0.0,0.0,0.898876404494382,0.0898876404494382,0.0,-0.0335012605086404,0.006024096385542169
6,0.0,7.0,62.0,5.0,0.0,0.0,0.8378378378378378,0.0945945945945946,0.0,-0.08701058237334794,0.03534026074253741
7,1.0,10.0,51.0,3.0,0.09090909090909091,0.25,0.8,0.16923076923076924,0.13333333333333333,0.05516087657948691,0.07218406593406593
8,2.0,5.0,70.0,2.0,0.2857142857142857,0.5,0.9113924050632911,0.08860759493670886,0.36363636363636365,0.3343239249178658,0.1546031746031746
9,2.0,8.0,58.0,2.0,0.2,0.5,0.8571428571428571,0.14285714285714285,0.28571428571428575,0.251259453814803,0.09614146609730849
10,8.0,62.0,630.0,26.0,0.09694805194805194,0.19,0.8767576906015535,0.09741166419828247,0.12721944721944722,0.07669080867358388,0.0878151229357559
