,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,4.0,0.0,28.0,3.0,1.0,0.5714285714285714,0.9142857142857143,0.11428571428571428,0.7272727272727273,0.7184212081070996,0.8325892857142857
1,1.0,0.0,28.0,6.0,1.0,0.14285714285714285,0.8285714285714286,0.02857142857142857,0.25,0.3429971702850177,0.6651785714285714
2,3.0,1.0,27.0,4.0,0.75,0.42857142857142855,0.8571428571428571,0.11428571428571428,0.5454545454545454,0.49391458057363097,0.6916666666666667
3,3.0,2.0,26.0,3.0,0.6,0.5,0.8529411764705882,0.14705882352941177,0.5454545454545454,0.4613110466630937,0.5239583333333333
4,3.0,0.0,28.0,3.0,1.0,0.5,0.9117647058823529,0.08823529411764706,0.6666666666666666,0.672021505032247,0.7145833333333333
5,5.0,0.0,28.0,1.0,1.0,0.8333333333333334,0.9705882352941176,0.14705882352941177,0.9090909090909091,0.8969937018449045,0.9339080459770115
6,2.0,0.0,28.0,4.0,1.0,0.3333333333333333,0.8823529411764706,0.058823529411764705,0.5,0.5400617248673216,0.7333333333333333
7,2.0,3.0,25.0,4.0,0.4,0.3333333333333333,0.7941176470588235,0.14705882352941177,0.3636363636363636,0.24346971907218834,0.5045835241771903
8,4.0,0.0,28.0,2.0,1.0,0.6666666666666666,0.9411764705882353,0.11764705882352941,0.8,0.7888106377466154,0.7911931818181819
9,4.0,1.0,27.0,2.0,0.8,0.6666666666666666,0.9117647058823529,0.14705882352941177,0.7272727272727272,0.6791523742539991,0.7407322068612392
10,31.0,7.0,273.0,32.0,0.8550000000000001,0.4976190476190476,0.8864705882352941,0.11100840336134454,0.6034848484848485,0.5837153668446119,0.7131726482643146
