,idProject,nameProject,productionClass,testCase,SimilaritiesCoefficient,probabilityEagerTest,isEagerTest,isEagerTestManual,prediction
0,7.0,pippo,ControllerRegistry,ro.pippo.controller.controllerregistrytest.testwithoutpath,0.6255163972801806,0.3744836027198194,False,False,False
1,7.0,pippo,ControllerRegistry,ro.pippo.controller.controllerregistrytest.testwithpathwithmultivalue,0.6418418141080172,0.3581581858919828,False,False,False
3,7.0,pippo,AbstractTemplateEngine,ro.pippo.core.abstracttemplateenginetest.shouldgetlanguageordefaultforspecifiedroutecontextfromapplicationlanguages,0.4009701726910352,0.5990298273089647,False,False,False
7,7.0,pippo,ParameterValue,ro.pippo.core.parametervaluetest.testdoubledefaultlocale,0.3670204059804526,0.6329795940195473,True,False,False
9,7.0,pippo,ParameterValue,ro.pippo.core.parametervaluetest.testencodedarraylist,0.3849213163372937,0.6150786836627062,True,False,False
11,7.0,pippo,ParameterValue,ro.pippo.core.parametervaluetest.testintegerhashset,0.3797045234355713,0.6202954765644286,True,False,False
14,7.0,pippo,ParameterValue,ro.pippo.core.parametervaluetest.testsqltimestamp,0.247807920547924,0.752192079452076,True,False,False
15,7.0,pippo,ParameterValue,ro.pippo.core.parametervaluetest.teststring,0.4232943254502733,0.5767056745497268,False,False,False
16,7.0,pippo,PathRegexBuilder,ro.pippo.core.pathregexbuildertest.testincludeant,0.7816148815275417,0.2183851184724583,False,False,False
17,7.0,pippo,PathRegexBuilder,ro.pippo.core.pathregexbuildertest.testmultiincludeantwithsameregex,0.7305971185564608,0.2694028814435392,False,False,False
20,7.0,pippo,Request,ro.pippo.core.requesttest.createentitytest,0.9291513251679274,0.0708486748320725,False,False,False
25,7.0,pippo,DefaultRouter,ro.pippo.core.route.defaultroutertest.testfindroutes,0.6802545630602024,0.3197454369397976,False,False,False
26,7.0,pippo,DefaultRouter,ro.pippo.core.route.defaultroutertest.testintidroute2,0.6903411602271162,0.3096588397728838,False,False,False
27,7.0,pippo,DefaultRouter,ro.pippo.core.route.defaultroutertest.testnestgroup,0.5996423453758346,0.4003576546241654,False,False,False
28,7.0,pippo,DefaultRouter,ro.pippo.core.route.defaultroutertest.testnulluripatternroute,0.4959741116960304,0.5040258883039695,False,False,False
29,7.0,pippo,DefaultRouter,ro.pippo.core.route.defaultroutertest.testoptionalsuffixgroup,0.6235475163081922,0.3764524836918078,False,False,False
30,7.0,pippo,DefaultRouter,ro.pippo.core.route.defaultroutertest.testparametersdontcrossslashes,0.4608385221831056,0.5391614778168943,False,False,False
34,7.0,pippo,DefaultRouter,ro.pippo.core.route.defaultroutertest.testposixalnum,0.6943660742552016,0.3056339257447984,False,False,False
39,7.0,pippo,DefaultRouter,ro.pippo.core.route.defaultroutertest.testunspecifiedmethodrequestroute,0.4928228406705843,0.5071771593294156,False,False,False
41,7.0,pippo,CsvEngine,ro.pippo.csv.csvenginetest.testfromarray,0.8214950978317955,0.1785049021682044,False,False,False
42,7.0,pippo,JacksonBaseEngine,ro.pippo.jackson.jacksonbaseenginetest.testengine,0.6473384461403342,0.3526615538596658,False,False,False
43,7.0,pippo,PippoSessionStore,ro.pippo.pac4j.pipposessionstoretest.shouldaskroutecontexttorecreatesessiononrenewsession,0.8153898169325324,0.1846101830674675,False,False,False
47,7.0,pippo,PippoWebContext,ro.pippo.pac4j.pippowebcontexttest.shouldaddspecifiedcookietounderlyingresponse,0.1651299238913765,0.8348700761086234,True,False,False
49,7.0,pippo,PippoWebContext,ro.pippo.pac4j.pippowebcontexttest.shouldreturnnullvalueifnorequestparameterwithspecifiednamewasfound,0.455453916347058,0.5445460836529419,False,False,False
50,7.0,pippo,PippoWebContext,ro.pippo.pac4j.pippowebcontexttest.shouldreturnpipposessionstorewhenaccessed,0.2655233212491643,0.7344766787508357,True,False,False
51,7.0,pippo,PippoWebContext,ro.pippo.pac4j.pippowebcontexttest.shouldthrowunsupportedoperationexceptionifsettingsessionstoreisattempted,0.2608409527779974,0.7391590472220025,True,False,False
53,7.0,pippo,HazelcastSessionDataStorage,ro.pippo.session.hazelcast.hazelcastsessiondatastoragetest.testcreate,0.7236964949299998,0.2763035050700002,False,False,False
54,7.0,pippo,HazelcastSessionDataStorage,ro.pippo.session.hazelcast.hazelcastsessiondatastoragetest.testgetexpired,0.755985813487127,0.244014186512873,False,False,False
56,7.0,pippo,JDBCSessionDataStorage,ro.pippo.session.jdbc.jdbcsessiondatastoragetest.testdelete,0.6099382180675756,0.3900617819324243,False,False,False
57,7.0,pippo,JedisSessionDataStorage,ro.pippo.session.jedis.jedissessiondatastoragetest.testcreate,0.6283151958655396,0.3716848041344603,False,False,False
