,idProject,nameProject,productionClass,testCase,isEagerTest,isEagerTestManual,prediction
0,24.0,hsac-fitnesse-fixtures,ReportXmlFixture,nl.hsac.fitnesse.fixture.leanapps.reportxmlfixturetest.testreporttrigger,False,False,False
3,24.0,hsac-fitnesse-fixtures,FileFixture,nl.hsac.fitnesse.fixture.slim.filefixturetest.testgetandsetdirectoryrelative,True,False,False
5,24.0,hsac-fitnesse-fixtures,MapFixture,nl.hsac.fitnesse.fixture.slim.mapfixturetest.nestednamedbydefault,False,False,False
6,24.0,hsac-fitnesse-fixtures,ScriptLanguageFixture,nl.hsac.fitnesse.fixture.slim.scriptlanguagefixturetest.invokebadfunction,True,False,False
8,24.0,hsac-fitnesse-fixtures,StringFixture,nl.hsac.fitnesse.fixture.slim.stringfixturetest.testconverttodouble,False,False,False
10,24.0,hsac-fitnesse-fixtures,StringFixture,nl.hsac.fitnesse.fixture.slim.stringfixturetest.testconverttouppercase,False,False,False
11,24.0,hsac-fitnesse-fixtures,StringFixture,nl.hsac.fitnesse.fixture.slim.stringfixturetest.testreplaceallwithregexin,True,False,False
12,24.0,hsac-fitnesse-fixtures,CalendarUtil,nl.hsac.fitnesse.fixture.util.calendarutiltest.testaddmonths,False,False,False
13,24.0,hsac-fitnesse-fixtures,CalendarUtil,nl.hsac.fitnesse.fixture.util.calendarutiltest.testaddmonthsintosummertime,False,False,False
15,24.0,hsac-fitnesse-fixtures,CalendarUtil,nl.hsac.fitnesse.fixture.util.calendarutiltest.testaddyears,False,False,False
17,24.0,hsac-fitnesse-fixtures,CalendarUtil,nl.hsac.fitnesse.fixture.util.calendarutiltest.testbuildxmlgregoriancalendardatetime,False,False,False
21,24.0,hsac-fitnesse-fixtures,HttpResponse,nl.hsac.fitnesse.fixture.util.httpresponsetest.testparselalresponse,False,False,False
22,24.0,hsac-fitnesse-fixtures,HttpResponse,nl.hsac.fitnesse.fixture.util.httpresponsetest.testvalidresponseok,False,False,False
23,24.0,hsac-fitnesse-fixtures,HttpResponse,nl.hsac.fitnesse.fixture.util.httpresponsetest.testvalidresponseservererrorgeneric,False,False,False
26,24.0,hsac-fitnesse-fixtures,LambdaMetaHelper,nl.hsac.fitnesse.fixture.util.lambdametahelpertest.testgetintfromstring,False,False,False
27,24.0,hsac-fitnesse-fixtures,MapHelper,nl.hsac.fitnesse.fixture.util.maphelpertest.testsetvaluecreatinglist,False,False,False
28,24.0,hsac-fitnesse-fixtures,NamespaceContextImpl,nl.hsac.fitnesse.fixture.util.namespacecontextimpltest.addduplicateprefixnullurifirst,False,False,False
36,24.0,hsac-fitnesse-fixtures,ThrowingFunction,nl.hsac.fitnesse.fixture.util.throwingfunctiontest.testnothrow,False,False,False
37,24.0,hsac-fitnesse-fixtures,ThrowingFunction,nl.hsac.fitnesse.fixture.util.throwingfunctiontest.testthrowruntime,False,False,False
38,24.0,hsac-fitnesse-fixtures,XMLFormatter,nl.hsac.fitnesse.fixture.util.xmlformattertest.testtrimelements,False,False,False
41,24.0,hsac-fitnesse-fixtures,XPathCheckResult,nl.hsac.fitnesse.fixture.util.xpathcheckresulttest.testparse,False,False,False
43,24.0,hsac-fitnesse-fixtures,XPathHelper,nl.hsac.fitnesse.fixture.util.xpathhelpertest.testallxmlwithtext,False,False,False
44,24.0,hsac-fitnesse-fixtures,XPathHelper,nl.hsac.fitnesse.fixture.util.xpathhelpertest.testbadxml,False,False,False
45,24.0,hsac-fitnesse-fixtures,XPathHelper,nl.hsac.fitnesse.fixture.util.xpathhelpertest.testbadxpath,False,False,False
47,24.0,hsac-fitnesse-fixtures,ReportFinder,nl.hsac.fitnesse.junit.reportmerge.reportfindertest.testfindtestresultpages,True,False,False
48,24.0,hsac-fitnesse-fixtures,LocalSeleniumDriverFactoryFactory,nl.hsac.fitnesse.junit.selenium.localseleniumdriverfactoryfactorytest.testsupportnull,False,False,False
50,24.0,hsac-fitnesse-fixtures,LocalSeleniumDriverFactoryFactory,nl.hsac.fitnesse.junit.selenium.localseleniumdriverfactoryfactorytest.testwithspaceandquotes,False,False,False
