,idProject,nameProject,productionClass,testCase,NMC,probabilityEagerTest,isEagerTest,isEagerTestManual,prediction
0,5.0,orbit,CloneHelper,cloud.orbit.actors.cloner.clonehelpertest.testmessagewithobjectarraypayload,0.0,0.295492947173354,False,False,False
2,5.0,orbit,ExecutionSerializer,cloud.orbit.actors.executionserializertest.testmulti,0.0,0.2460340723359166,False,False,False
3,5.0,orbit,LengthFieldHandler,cloud.orbit.actors.extensions.test.lengthfieldhandlertest.testpartialmessage,0.0,0.1397761179064632,False,True,False
4,5.0,orbit,LengthFieldHandler,cloud.orbit.actors.extensions.test.lengthfieldhandlertest.testtwomessages,0.0,0.1588016867640901,False,True,False
6,5.0,orbit,ClassPathSearch,cloud.orbit.actors.runtime.classpathsearchtest.testfind,0.0,0.304899074599897,False,False,False
8,5.0,orbit,ClassPathSearch,cloud.orbit.actors.runtime.classpathsearchtest.testutilityfunctions,0.0,0.4773421980704204,False,False,False
1,5.0,orbit,ExecutionSerializer,cloud.orbit.actors.executionserializertest.testexception,0.0,0.2426795886068866,False,False,False
5,5.0,orbit,ClassPathSearch,cloud.orbit.actors.runtime.classpathsearchtest.testearlyremovalbug,0.0,0.1904732280902026,False,False,True
7,5.0,orbit,ClassPathSearch,cloud.orbit.actors.runtime.classpathsearchtest.testfindwithabstractclass,0.0,0.1919688508580677,False,False,True
9,5.0,orbit,OnlyIfActivated,cloud.orbit.actors.test.onlyifactivatedtest.onlyifactivatedtest,0.0,0.9714764972192652,True,True,False
10,5.0,orbit,ExceptionUtils,cloud.orbit.concurrent.test.exceptionutilstest.testgetcauseinchain,0.0,0.0773052230744711,False,False,True
