,idProject,nameProject,productionClass,testCase,NMC,SimilaritiesCoefficient,isEagerTest,isEagerTestManual,prediction
0,24.0,hsac-fitnesse-fixtures,ReportXmlFixture,nl.hsac.fitnesse.fixture.leanapps.reportxmlfixturetest.testreporttrigger,0.0,0.49029033784546,False,False,False
3,24.0,hsac-fitnesse-fixtures,FileFixture,nl.hsac.fitnesse.fixture.slim.filefixturetest.testgetandsetdirectoryrelative,0.0,0.3865686063738374,True,False,False
5,24.0,hsac-fitnesse-fixtures,MapFixture,nl.hsac.fitnesse.fixture.slim.mapfixturetest.nestednamedbydefault,0.0,0.6526566512081212,False,False,False
6,24.0,hsac-fitnesse-fixtures,ScriptLanguageFixture,nl.hsac.fitnesse.fixture.slim.scriptlanguagefixturetest.invokebadfunction,0.0,0.3224079104017712,True,False,False
8,24.0,hsac-fitnesse-fixtures,StringFixture,nl.hsac.fitnesse.fixture.slim.stringfixturetest.testconverttodouble,0.0,0.4593596068909662,False,False,False
10,24.0,hsac-fitnesse-fixtures,StringFixture,nl.hsac.fitnesse.fixture.slim.stringfixturetest.testconverttouppercase,0.0,0.4513916458117905,False,False,False
11,24.0,hsac-fitnesse-fixtures,StringFixture,nl.hsac.fitnesse.fixture.slim.stringfixturetest.testreplaceallwithregexin,0.0,0.3325652793447396,True,False,False
12,24.0,hsac-fitnesse-fixtures,CalendarUtil,nl.hsac.fitnesse.fixture.util.calendarutiltest.testaddmonths,1.0,0.6073554205987677,False,False,False
13,24.0,hsac-fitnesse-fixtures,CalendarUtil,nl.hsac.fitnesse.fixture.util.calendarutiltest.testaddmonthsintosummertime,1.0,0.6085778193862276,False,False,False
15,24.0,hsac-fitnesse-fixtures,CalendarUtil,nl.hsac.fitnesse.fixture.util.calendarutiltest.testaddyears,1.0,0.5970554278967263,False,False,False
17,24.0,hsac-fitnesse-fixtures,CalendarUtil,nl.hsac.fitnesse.fixture.util.calendarutiltest.testbuildxmlgregoriancalendardatetime,0.0,0.6100296265085728,False,False,False
21,24.0,hsac-fitnesse-fixtures,HttpResponse,nl.hsac.fitnesse.fixture.util.httpresponsetest.testparselalresponse,0.0,0.4886246945161921,False,False,False
22,24.0,hsac-fitnesse-fixtures,HttpResponse,nl.hsac.fitnesse.fixture.util.httpresponsetest.testvalidresponseok,0.0,0.6448568737589365,False,False,False
23,24.0,hsac-fitnesse-fixtures,HttpResponse,nl.hsac.fitnesse.fixture.util.httpresponsetest.testvalidresponseservererrorgeneric,0.0,0.7599309860907125,False,False,False
26,24.0,hsac-fitnesse-fixtures,LambdaMetaHelper,nl.hsac.fitnesse.fixture.util.lambdametahelpertest.testgetintfromstring,0.0,0.5747072376862059,False,False,False
27,24.0,hsac-fitnesse-fixtures,MapHelper,nl.hsac.fitnesse.fixture.util.maphelpertest.testsetvaluecreatinglist,0.0,0.7554574991902427,False,False,False
28,24.0,hsac-fitnesse-fixtures,NamespaceContextImpl,nl.hsac.fitnesse.fixture.util.namespacecontextimpltest.addduplicateprefixnullurifirst,0.0,0.8724240080615864,False,False,False
36,24.0,hsac-fitnesse-fixtures,ThrowingFunction,nl.hsac.fitnesse.fixture.util.throwingfunctiontest.testnothrow,0.0,0.500035390377771,False,False,False
37,24.0,hsac-fitnesse-fixtures,ThrowingFunction,nl.hsac.fitnesse.fixture.util.throwingfunctiontest.testthrowruntime,0.0,0.500035390377771,False,False,False
38,24.0,hsac-fitnesse-fixtures,XMLFormatter,nl.hsac.fitnesse.fixture.util.xmlformattertest.testtrimelements,0.0,0.8241456095919675,False,False,False
41,24.0,hsac-fitnesse-fixtures,XPathCheckResult,nl.hsac.fitnesse.fixture.util.xpathcheckresulttest.testparse,2.0,0.9418620199196484,False,False,False
43,24.0,hsac-fitnesse-fixtures,XPathHelper,nl.hsac.fitnesse.fixture.util.xpathhelpertest.testallxmlwithtext,0.0,0.5763646979352599,False,False,False
44,24.0,hsac-fitnesse-fixtures,XPathHelper,nl.hsac.fitnesse.fixture.util.xpathhelpertest.testbadxml,0.0,0.4658915124963373,False,False,False
45,24.0,hsac-fitnesse-fixtures,XPathHelper,nl.hsac.fitnesse.fixture.util.xpathhelpertest.testbadxpath,0.0,0.6058316110172611,False,False,False
47,24.0,hsac-fitnesse-fixtures,ReportFinder,nl.hsac.fitnesse.junit.reportmerge.reportfindertest.testfindtestresultpages,0.0,0.3198010745334156,True,False,False
48,24.0,hsac-fitnesse-fixtures,LocalSeleniumDriverFactoryFactory,nl.hsac.fitnesse.junit.selenium.localseleniumdriverfactoryfactorytest.testsupportnull,0.0,0.7439998388197544,False,False,False
50,24.0,hsac-fitnesse-fixtures,LocalSeleniumDriverFactoryFactory,nl.hsac.fitnesse.junit.selenium.localseleniumdriverfactoryfactorytest.testwithspaceandquotes,1.0,0.733977319364848,False,False,False
