Type,nameProject,ModelBalance,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
detector,achilles,teredetect_cross,0,0,103,0,0,0,1.0,,0.0,0.0,
detector,activiti,teredetect_cross,0,0,25,0,0,0,1.0,,0.0,0.0,
detector,admiral,teredetect_cross,0,0,426,0,0,0,1.0,,0.0,0.0,
detector,aismessages,teredetect_cross,0,0,12,0,0,0,1.0,,0.0,0.0,
detector,aletheia,teredetect_cross,0,0,7,0,0,0,1.0,,0.0,0.0,
detector,alien4cloud,teredetect_cross,0,0,81,0,0,0,1.0,,0.0,0.0,
detector,c2mon,teredetect_cross,0,0,168,0,0,0,1.0,,0.0,0.0,
detector,carbon-apimgt,teredetect_cross,0,0,57,0,0,0,1.0,,0.0,0.0,
detector,cukes,teredetect_cross,0,0,15,0,0,0,1.0,,0.0,0.0,
detector,db-scheduler,teredetect_cross,0,0,8,0,0,0,1.0,,0.0,0.0,
detector,delight-nashorn-sandbox,teredetect_cross,0,0,1,0,0,0,1.0,,0.0,0.0,
detector,dnsjava,teredetect_cross,0,0,118,1,0,0,0.9915966386554622,,0.0,0.0,
detector,dropwizard,teredetect_cross,0,1,269,0,0,0,0.9962962962962963,,0.0,0.0,
detector,elastic-job-lite,teredetect_cross,0,1,139,0,0,0,0.9928571428571429,,0.0,0.0,
detector,esper,teredetect_cross,0,0,148,0,0,0,1.0,,0.0,0.0,
detector,fastjson,teredetect_cross,0,2,461,1,0.0,0.0,0.9935344827586207,,0.0,-0.0030577608406382384,
detector,fluent-logger-java,teredetect_cross,0,0,2,0,0,0,1.0,,0.0,0.0,
detector,hadoop,teredetect_cross,0,24,2325,23,0.0,0.0,0.980185497470489,,0.0,-0.010004122112589098,
detector,hbase,teredetect_cross,0,7,715,4,0.0,0.0,0.9848484848484849,,0.0,-0.0073442249681188836,
detector,helios,teredetect_cross,0,0,108,1,0,0,0.9908256880733946,,0.0,0.0,
detector,hsac-fitnesse-fixtures,teredetect_cross,0,0,54,0,0,0,1.0,,0.0,0.0,
detector,http-request,teredetect_cross,0,0,36,0,0,0,1.0,,0.0,0.0,
detector,hutool,teredetect_cross,0,1,124,1,0.0,0.0,0.9841269841269841,,0.0,-0.008,
detector,incubator-dubbo,teredetect_cross,0,0,371,0,0,0,1.0,,0.0,0.0,
detector,java-websocket,teredetect_cross,0,0,96,0,0,0,1.0,,0.0,0.0,
detector,jfreechart,teredetect_cross,0,0,560,0,0,0,1.0,,0.0,0.0,
detector,jhipster-registry,teredetect_cross,0,0,14,0,0,0,1.0,,0.0,0.0,
detector,jimfs,teredetect_cross,0,0,68,0,0,0,1.0,,0.0,0.0,
detector,joda-time,teredetect_cross,0,0,395,0,0,0,1.0,,0.0,0.0,
detector,junit-quickcheck,teredetect_cross,0,0,39,0,0,0,1.0,,0.0,0.0,
detector,luwak,teredetect_cross,0,0,24,0,0,0,1.0,,0.0,0.0,
detector,marine-api,teredetect_cross,0,0,91,0,0,0,1.0,,0.0,0.0,
detector,nexus-repository-helm,teredetect_cross,0,0,4,0,0,0,1.0,,0.0,0.0,
detector,noxy,teredetect_cross,0,0,6,0,0,0,1.0,,0.0,0.0,
detector,oci-java-sdk,teredetect_cross,0,0,47,0,0,0,1.0,,0.0,0.0,
detector,one,teredetect_cross,0,0,2,0,0,0,1.0,,0.0,0.0,
detector,openpojo,teredetect_cross,0,0,138,0,0,0,1.0,,0.0,0.0,
detector,orbit,teredetect_cross,0,0,11,0,0,0,1.0,,0.0,0.0,
detector,oryx,teredetect_cross,0,0,101,0,0,0,1.0,,0.0,0.0,
detector,otto,teredetect_cross,0,0,7,0,0,0,1.0,,0.0,0.0,
detector,pippo,teredetect_cross,0,1,59,0,0,0,0.9833333333333333,,0.0,0.0,
detector,querydsl,teredetect_cross,0,5,580,0,0,0,0.9914529914529915,,0.0,0.0,
detector,recast4j,teredetect_cross,0,0,3,0,0,0,1.0,,0.0,0.0,
detector,redpipe,teredetect_cross,0,0,0,1,0,0,0.0,,0.0,0.0,
detector,retrofit,teredetect_cross,0,0,98,0,0,0,1.0,,0.0,0.0,
detector,riptide,teredetect_cross,0,1,55,0,0,0,0.9821428571428571,,0.0,0.0,
detector,rxjava2-extras,teredetect_cross,0,0,90,0,0,0,1.0,,0.0,0.0,
detector,sawmill,teredetect_cross,0,0,66,1,0,0,0.9850746268656716,,0.0,0.0,
detector,search-highlighter,teredetect_cross,0,0,47,0,0,0,1.0,,0.0,0.0,
detector,spring-boot,teredetect_cross,0,0,20,0,0,0,1.0,,0.0,0.0,
detector,spring-cloud-zuul-ratelimit,teredetect_cross,0,0,15,0,0,0,1.0,,0.0,0.0,
detector,spring-ws,teredetect_cross,0,0,153,0,0,0,1.0,,0.0,0.0,
detector,struts,teredetect_cross,0,0,96,9,0,0,0.9142857142857143,,0.0,0.0,
detector,timely,teredetect_cross,0,0,56,0,0,0,1.0,,0.0,0.0,
detector,tyrus,teredetect_cross,0,0,38,0,0,0,1.0,,0.0,0.0,
detector,undertow,teredetect_cross,0,0,5,0,0,0,1.0,,0.0,0.0,
detector,unix4j,teredetect_cross,0,0,76,1,0,0,0.987012987012987,,0.0,0.0,
detector,vertexium,teredetect_cross,0,0,84,0,0,0,1.0,,0.0,0.0,
detector,vertx-completable-future,teredetect_cross,0,0,12,0,0,0,1.0,,0.0,0.0,
detector,vertx-mqtt,teredetect_cross,0,0,3,0,0,0,1.0,,0.0,0.0,
detector,webcollector,teredetect_cross,0,0,3,0,0,0,1.0,,0.0,0.0,
detector,wikidata-toolkit,teredetect_cross,0,0,200,0,0,0,1.0,,0.0,0.0,
detector,wildfly,teredetect_cross,0,0,17,0,0,0,1.0,,0.0,0.0,
detector,wildfly-maven-plugin,teredetect_cross,0,0,2,0,0,0,1.0,,0.0,0.0,
detector,wro4j,teredetect_cross,0,0,342,1,0,0,0.9970845481049563,,0.0,0.0,
detector,yawp,teredetect_cross,0,0,50,0,0,0,1.0,,0.0,0.0,
detector,total,teredetect_cross,0,43,9546,44,0.0,0.0,0.990968545624416,,0.0,-0.0045359118203231776,
