,idProject,nameProject,productionClass,testCase,SimilaritiesCoefficient,isEagerTest,isEagerTestManual,prediction
0,47.0,rxjava2-extras,Actions,com.github.davidmoten.rx2.actionstest.testisutility,0.3044295411712823,True,False,False
1,47.0,rxjava2-extras,Actions,com.github.davidmoten.rx2.actionstest.testsettotrue,0.3044295411712823,True,False,False
2,47.0,rxjava2-extras,BiFunctions,com.github.davidmoten.rx2.bifunctionstest.testconstant,0.6185289305587947,False,False,False
3,47.0,rxjava2-extras,FlowableOnBackpressureBufferToFile,com.github.davidmoten.rx2.buffertofile.flowableonbackpressurebuffertofiletest.testbytearrays,0.4570366028958375,False,False,False
7,47.0,rxjava2-extras,FlowableOnBackpressureBufferToFile,com.github.davidmoten.rx2.buffertofile.flowableonbackpressurebuffertofiletest.testfragmentsasync,0.2037910123008168,True,True,False
10,47.0,rxjava2-extras,FlowableOnBackpressureBufferToFile,com.github.davidmoten.rx2.buffertofile.flowableonbackpressurebuffertofiletest.testverymanybytearrays,0.4170974885478014,False,True,True
11,47.0,rxjava2-extras,FlowableOnBackpressureBufferToFile,com.github.davidmoten.rx2.buffertofile.flowableonbackpressurebuffertofiletest.testverymanybytearraysobservablesource,0.4157074155377699,False,True,True
14,47.0,rxjava2-extras,Bytes,com.github.davidmoten.rx2.bytestest.testcollect,0.3984157156004251,True,False,False
16,47.0,rxjava2-extras,Bytes,com.github.davidmoten.rx2.bytestest.testunzipextractspecificfile,0.4641250928997977,False,True,False
18,47.0,rxjava2-extras,Consumers,com.github.davidmoten.rx2.consumerstest.testisutilityclass,0.2826655967334703,True,False,False
19,47.0,rxjava2-extras,Transformers,com.github.davidmoten.rx2.flowable.transformerstest.teststatisticsonmultipleelements,0.664457590702837,False,False,False
21,47.0,rxjava2-extras,Functions,com.github.davidmoten.rx2.functionstest.testisutilityclass,0.3711537444790451,True,False,False
22,47.0,rxjava2-extras,Page,com.github.davidmoten.rx2.internal.flowable.buffertofile.pagetest.testpageprintln,0.4780448117772958,False,False,False
23,47.0,rxjava2-extras,Page,com.github.davidmoten.rx2.internal.flowable.buffertofile.pagetest.testpagesize,0.6222069837721972,False,False,False
24,47.0,rxjava2-extras,DelimitedStringLinkedList,com.github.davidmoten.rx2.internal.flowable.delimitedstringlinkedlisttest.testfindsfirst,0.8713350482548182,False,False,False
