,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,1.0,4.0,4.0,0.0,0.2,1.0,0.5555555555555556,0.5555555555555556,0.33333333333333337,0.31622776601683794,0.75
1,1.0,5.0,3.0,0.0,0.16666666666666666,1.0,0.4444444444444444,0.6666666666666666,0.2857142857142857,0.25,0.1
2,1.0,4.0,4.0,0.0,0.2,1.0,0.5555555555555556,0.5555555555555556,0.33333333333333337,0.31622776601683794,0.16666666666666666
3,0.0,3.0,5.0,1.0,0.0,0.0,0.5555555555555556,0.3333333333333333,0.0,-0.25,0.1
4,0.0,5.0,3.0,1.0,0.0,0.0,0.3333333333333333,0.5555555555555556,0.0,-0.3952847075210474,0.08333333333333333
5,1.0,4.0,4.0,0.0,0.2,1.0,0.5555555555555556,0.5555555555555556,0.33333333333333337,0.31622776601683794,0.16666666666666666
6,0.0,4.0,3.0,2.0,0.0,0.0,0.3333333333333333,0.4444444444444444,0.0,-0.47809144373375745,0.15555555555555556
7,2.0,4.0,3.0,0.0,0.3333333333333333,1.0,0.5555555555555556,0.6666666666666666,0.5,0.3779644730092272,0.20833333333333331
8,2.0,3.0,4.0,0.0,0.4,1.0,0.6666666666666666,0.5555555555555556,0.5714285714285715,0.47809144373375745,0.225
9,2.0,4.0,3.0,0.0,0.3333333333333333,1.0,0.5555555555555556,0.6666666666666666,0.5,0.3779644730092272,0.21666666666666667
10,10.0,40.0,36.0,4.0,0.18333333333333332,0.7,0.5111111111111111,0.5555555555555556,0.2857142857142857,0.1309327536547921,0.21722222222222226
