,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,4.0,5.0,2.0,1.0,0.4444444444444444,0.8,0.5,0.75,0.5714285714285714,0.09759000729485331,0.8211111111111111
1,3.0,2.0,5.0,2.0,0.6,0.6,0.6666666666666666,0.4166666666666667,0.6,0.3142857142857143,0.47011904761904755
2,2.0,3.0,4.0,3.0,0.4,0.4,0.5,0.4166666666666667,0.4000000000000001,-0.02857142857142857,0.4034126984126984
3,3.0,3.0,4.0,2.0,0.5,0.6,0.5833333333333334,0.5,0.5454545454545454,0.1690308509457033,0.44926406926406925
4,5.0,2.0,5.0,0.0,0.7142857142857143,1.0,0.8333333333333334,0.5833333333333334,0.8333333333333333,0.7142857142857143,0.9183333333333332
5,6.0,3.0,3.0,0.0,0.6666666666666666,1.0,0.75,0.75,0.8,0.5773502691896257,0.5934523809523808
6,4.0,1.0,5.0,2.0,0.8,0.6666666666666666,0.75,0.4166666666666667,0.7272727272727272,0.50709255283711,0.608829365079365
7,4.0,2.0,4.0,2.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.3333333333333333,0.7244528619528618
8,4.0,4.0,2.0,2.0,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5714285714285715,0.0,0.5612433862433862
9,4.0,4.0,2.0,1.0,0.5,0.8,0.5454545454545454,0.7272727272727273,0.6153846153846154,0.14907119849998599,0.6915873015873016
10,39.0,29.0,36.0,15.0,0.5792063492063492,0.72,0.6295454545454545,0.5727272727272729,0.6330969030969031,0.2833468212100611,0.6241805555555555
