,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,9.0,13.0,18.0,8.0,0.4090909090909091,0.5294117647058824,0.5625,0.4583333333333333,0.46153846153846156,0.1056390948950461,0.5572717723453018
1,7.0,15.0,14.0,15.0,0.3181818181818182,0.3181818181818182,0.4117647058823529,0.43137254901960786,0.3181818181818182,-0.19905956112852666,0.47347705770165666
2,7.0,19.0,12.0,14.0,0.2692307692307692,0.3333333333333333,0.36538461538461536,0.5,0.2978723404255319,-0.2743516305843672,0.4442307692307692
3,12.0,15.0,8.0,11.0,0.4444444444444444,0.5217391304347826,0.43478260869565216,0.5869565217391305,0.48,-0.13245323570650436,0.5987392482620478
4,13.0,23.0,11.0,9.0,0.3611111111111111,0.5909090909090909,0.42857142857142855,0.6428571428571429,0.4482758620689656,-0.08720932535569716,0.5645382395382396
5,9.0,14.0,10.0,10.0,0.391304347826087,0.47368421052631576,0.4418604651162791,0.5348837209302325,0.42857142857142855,-0.10917134657869827,0.5615420946197648
6,13.0,17.0,11.0,4.0,0.43333333333333335,0.7647058823529411,0.5333333333333333,0.6666666666666666,0.5531914893617021,0.1620509308880411,0.646921224630203
7,5.0,13.0,10.0,6.0,0.2777777777777778,0.45454545454545453,0.4411764705882353,0.5294117647058824,0.3448275862068966,-0.10372931904402365,0.46472645002056767
8,11.0,16.0,10.0,9.0,0.4074074074074074,0.55,0.45652173913043476,0.5869565217391305,0.46808510638297873,-0.06582919778374716,0.581322463768116
9,10.0,16.0,10.0,7.0,0.38461538461538464,0.5882352941176471,0.46511627906976744,0.6046511627906976,0.46511627906976744,-0.027149321266968326,0.5690939703251605
10,96.0,161.0,114.0,93.0,0.36964973030190423,0.5124745979107266,0.4541011645772099,0.5542089383781824,0.42656603718075503,-0.07312629116654457,0.5461863290441827
